,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
1,EVR,Walsh Robert B,Principal Financial Officer,"Apr 23, 2020",$50.14,2000,100280,105542,"Apr 24, 2020, 06:04 PM",buy
2,DSNY,Graber Mark A,10% Owner,"Apr 20, 2020",$0.60,13000,7800,1162777,"Apr 24, 2020, 05:54 PM",buy
3,RVP,SHAW THOMAS J,President and CEO,"Apr 24, 2020",$3.10,800,2480,14553806,"Apr 24, 2020, 05:46 PM",buy
4,RVP,SHAW THOMAS J,President and CEO,"Apr 23, 2020",$3.01,300,903,14553006,"Apr 24, 2020, 05:46 PM",buy
5,ICMB,Investcorp BDC Holdings Ltd,10% Owner,"Apr 23, 2020",$4.78,3080,14732,469920,"Apr 24, 2020, 05:39 PM",buy
6,ICMB,Investcorp BDC Holdings Ltd,10% Owner,"Apr 22, 2020",$4.53,2917,13229,466840,"Apr 24, 2020, 05:39 PM",buy
7,ICMB,Investcorp BDC Holdings Ltd,10% Owner,"Apr 24, 2020",$4.84,2600,12571,472520,"Apr 24, 2020, 05:39 PM",buy
8,AUMN,Rehn Warren,President and CEO,"Apr 24, 2020",$0.22,10000,2210,486000,"Apr 24, 2020, 05:26 PM",buy
9,RGT,ROYCE CHARLES M,Portfolio Manager,"Apr 23, 2020",$9.32,10000,93200,233705,"Apr 24, 2020, 05:14 PM",buy
10,RGT,ROYCE CHARLES M,Portfolio Manager,"Apr 24, 2020",$9.39,15000,140850,248705,"Apr 24, 2020, 05:14 PM",buy
11,TRST,SCHRECK ERIC W,SVP & TREASURER,"Apr 24, 2020",$5.61,4455,24993,99239,"Apr 24, 2020, 05:12 PM",buy
12,ABBV,Durkin Brian L,"VP, Controller","Mar 20, 2020",$69.00,1550,106950,17644,"Apr 24, 2020, 05:07 PM",buy
13,PACW,LESTER SUSAN E,Director,"Apr 23, 2020",$16.21,1000,16206,28056,"Apr 24, 2020, 05:06 PM",buy
14,AIMT,"Nestle Health Science US Holdings, Inc.",10% Owner,"Nov 28, 2018",$30.27,3237529,98000004,11727113,"Apr 24, 2020, 04:45 PM",buy
15,AIMT,"Nestle Health Science US Holdings, Inc.",10% Owner,"Feb 26, 2018",$32.00,937500,30000000,8489584,"Apr 24, 2020, 04:45 PM",buy
16,BMTC,TYLUS F KEVIN,President of BMTC (Bank),"Apr 23, 2020",$26.34,3000,79032,30544,"Apr 24, 2020, 04:43 PM",buy
17,THS,General Dean,"SVP, Chief Commercial Officer","Mar 05, 2020",$40.39,1000,40390,9216,"Apr 24, 2020, 04:36 PM",buy
18,RUBY,Coughlin Christina M.,Chief Medical Officer,"Apr 22, 2020",$5.52,19000,104813,19000,"Apr 24, 2020, 04:13 PM",buy
19,HQI,Hermanns Richard,President and CEO,"Apr 23, 2020",$6.33,3700,23427,5861190,"Apr 24, 2020, 04:08 PM",buy
20,GPK,Venturelli Larry M,Director,"Apr 02, 2020",$11.91,162,1929,66307,"Apr 24, 2020, 03:46 PM",buy
