symbol,sector
ANTE,advertising-marketing-services
AUTO,advertising-marketing-services
BOMN,advertising-marketing-services
CCO,advertising-marketing-services
CNET,advertising-marketing-services
EAST,advertising-marketing-services
GRPN,advertising-marketing-services
HHS,advertising-marketing-services
ICLK,advertising-marketing-services
INWK,advertising-marketing-services
IPG,advertising-marketing-services
ISIG,advertising-marketing-services
MDCA,advertising-marketing-services
MKGI,advertising-marketing-services
NCMI,advertising-marketing-services
NLSN,advertising-marketing-services
OMC,advertising-marketing-services
QNST,advertising-marketing-services
QUOT,advertising-marketing-services
RUBI,advertising-marketing-services
SRAX,advertising-marketing-services
TTD,advertising-marketing-services
WPP,advertising-marketing-services
AAXN,aerospace-defense
AIR,aerospace-defense
AIRI,aerospace-defense
AJRD,aerospace-defense
AOBC,aerospace-defense
ASTC,aerospace-defense
ATRO,aerospace-defense
AVAV,aerospace-defense
BA,aerospace-defense
CODA,aerospace-defense
CUB,aerospace-defense
CVU,aerospace-defense
CW,aerospace-defense
DCO,aerospace-defense
ERJ,aerospace-defense
ESE,aerospace-defense
ESLT,aerospace-defense
FLIR,aerospace-defense
GD,aerospace-defense
GE,aerospace-defense
HEI,aerospace-defense
HEI.,aerospace-defense
HII,aerospace-defense
HXL,aerospace-defense
ISSC,aerospace-defense
KAMN,aerospace-defense
KTOS,aerospace-defense
KVHI,aerospace-defense
LHX,aerospace-defense
LMT,aerospace-defense
MAGS,aerospace-defense
MAXR,aerospace-defense
MOG.,aerospace-defense
MSI,aerospace-defense
NOC,aerospace-defense
PKE,aerospace-defense
RADA,aerospace-defense
RTN,aerospace-defense
SIF,aerospace-defense
SPCE,aerospace-defense
SPR,aerospace-defense
SSTI,aerospace-defense
TATT,aerospace-defense
TDG,aerospace-defense
TDY,aerospace-defense
TGI,aerospace-defense
TXT,aerospace-defense
UAVS,aerospace-defense
ACB,agricultural-commodities-milling
ADM,agricultural-commodities-milling
AGRO,agricultural-commodities-milling
ALCO,agricultural-commodities-milling
ANDE,agricultural-commodities-milling
APHA,agricultural-commodities-milling
BG,agricultural-commodities-milling
CGC,agricultural-commodities-milling
CRON,agricultural-commodities-milling
CTST,agricultural-commodities-milling
DAR,agricultural-commodities-milling
ELAN,agricultural-commodities-milling
HEXO,agricultural-commodities-milling
HUGE,agricultural-commodities-milling
IBA,agricultural-commodities-milling
INGR,agricultural-commodities-milling
LMNR,agricultural-commodities-milling
LND,agricultural-commodities-milling
MGPI,agricultural-commodities-milling
OGI,agricultural-commodities-milling
RYCE,agricultural-commodities-milling
SANW,agricultural-commodities-milling
SEED,agricultural-commodities-milling
SNDL,agricultural-commodities-milling
TLRY,agricultural-commodities-milling
TYHT,agricultural-commodities-milling
VFF,agricultural-commodities-milling
AAWW,air-freight-couriers
AIRT,air-freight-couriers
BEST,air-freight-couriers
CHRW,air-freight-couriers
CYRX,air-freight-couriers
EXPD,air-freight-couriers
FDX,air-freight-couriers
FWRD,air-freight-couriers
HUBG,air-freight-couriers
RLGT,air-freight-couriers
RRTS,air-freight-couriers
STCN,air-freight-couriers
UPS,air-freight-couriers
ZTO,air-freight-couriers
AAL,airlines
ALGT,airlines
ALK,airlines
ATSG,airlines
AVH,airlines
AZUL,airlines
CEA,airlines
CPA,airlines
DAL,airlines
GOL,airlines
HA,airlines
JBLU,airlines
LTM,airlines
LUV,airlines
MESA,airlines
RYAA,airlines
SAVE,airlines
SKYW,airlines
UAL,airlines
VLRS,airlines
ZNH,airlines
AY,alternative-power-generation
AZRE,alternative-power-generation
BIP,alternative-power-generation
ELLO,alternative-power-generation
JHB,alternative-power-generation
NEP,alternative-power-generation
ORA,alternative-power-generation
PEGI,alternative-power-generation
SKYS,alternative-power-generation
TERP,alternative-power-generation
AA,aluminum
ACH,aluminum
ARNC,aluminum
CENX,aluminum
KALU,aluminum
APEX,apparel-footwear
CAL,apparel-footwear
COLM,apparel-footwear
CROX,apparel-footwear
CTRC,apparel-footwear
DECK,apparel-footwear
DLA,apparel-footwear
EVK,apparel-footwear
GES,apparel-footwear
GIII,apparel-footwear
GIL,apparel-footwear
GOOS,apparel-footwear
HBI,apparel-footwear
ICON,apparel-footwear
JRSH,apparel-footwear
KBSF,apparel-footwear
KTB,apparel-footwear
LEVI,apparel-footwear
NAKD,apparel-footwear
NKE,apparel-footwear
OXM,apparel-footwear
PVH,apparel-footwear
RCKY,apparel-footwear
RUHN,apparel-footwear
SGC,apparel-footwear
SHOO,apparel-footwear
SKX,apparel-footwear
SQBG,apparel-footwear
TBLT,apparel-footwear
UA,apparel-footwear
UAA,apparel-footwear
VFC,apparel-footwear
VNCE,apparel-footwear
VRA,apparel-footwear
WWW,apparel-footwear
XELB,apparel-footwear
AEO,apparel-footwear-retail
ANF,apparel-footwear-retail
ASNA,apparel-footwear-retail
BKE,apparel-footwear-retail
BOOT,apparel-footwear-retail
BURL,apparel-footwear-retail
CATO,apparel-footwear-retail
CHS,apparel-footwear-retail
CPRI,apparel-footwear-retail
CRI,apparel-footwear-retail
CTRN,apparel-footwear-retail
DBI,apparel-footwear-retail
DXLG,apparel-footwear-retail
EXPR,apparel-footwear-retail
FL,apparel-footwear-retail
FRAN,apparel-footwear-retail
GPS,apparel-footwear-retail
JILL,apparel-footwear-retail
JWN,apparel-footwear-retail
LB,apparel-footwear-retail
LULU,apparel-footwear-retail
MOGU,apparel-footwear-retail
PLCE,apparel-footwear-retail
RL,apparel-footwear-retail
ROST,apparel-footwear-retail
RTW,apparel-footwear-retail
SCVL,apparel-footwear-retail
SECO,apparel-footwear-retail
SFIX,apparel-footwear-retail
SMRT,apparel-footwear-retail
SSI,apparel-footwear-retail
TJX,apparel-footwear-retail
TLRD,apparel-footwear-retail
TLYS,apparel-footwear-retail
TPR,apparel-footwear-retail
URBN,apparel-footwear-retail
ZUMZ,apparel-footwear-retail
ADNT,auto-parts-oem
ALV,auto-parts-oem
APTV,auto-parts-oem
AXL,auto-parts-oem
BWA,auto-parts-oem
CAAS,auto-parts-oem
CPS,auto-parts-oem
CXDC,auto-parts-oem
DAN,auto-parts-oem
DLPH,auto-parts-oem
GNTX,auto-parts-oem
GTX,auto-parts-oem
KIQ,auto-parts-oem
LEA,auto-parts-oem
LIQT,auto-parts-oem
MGA,auto-parts-oem
MOD,auto-parts-oem
MPAA,auto-parts-oem
MTOR,auto-parts-oem
SORL,auto-parts-oem
SRI,auto-parts-oem
STRT,auto-parts-oem
SUP,auto-parts-oem
SYPR,auto-parts-oem
TEN,auto-parts-oem
THRM,auto-parts-oem
UFAB,auto-parts-oem
VC,auto-parts-oem
VNE,auto-parts-oem
WBC,auto-parts-oem
WKHS,auto-parts-oem
CTB,automotive-aftermarket
DORM,automotive-aftermarket
GT,automotive-aftermarket
HZN,automotive-aftermarket
LKQ,automotive-aftermarket
SMP,automotive-aftermarket
XPEL,automotive-aftermarket
ABEV,beverages-alcoholic
BF.A,beverages-alcoholic
BF.B,beverages-alcoholic
BREW,beverages-alcoholic
BUD,beverages-alcoholic
CCU,beverages-alcoholic
DEO,beverages-alcoholic
NBEV,beverages-alcoholic
SAM,beverages-alcoholic
STZ,beverages-alcoholic
STZ.,beverages-alcoholic
TAP,beverages-alcoholic
TAP.,beverages-alcoholic
WVVI,beverages-alcoholic
AKO.,beverages-non-alcoholic
CCEP,beverages-non-alcoholic
CELH,beverages-non-alcoholic
COKE,beverages-non-alcoholic
FIZZ,beverages-non-alcoholic
FMX,beverages-non-alcoholic
FTFT,beverages-non-alcoholic
KDP,beverages-non-alcoholic
KO,beverages-non-alcoholic
KOF,beverages-non-alcoholic
MNST,beverages-non-alcoholic
PEP,beverages-non-alcoholic
PRMW,beverages-non-alcoholic
REED,beverages-non-alcoholic
WTER,beverages-non-alcoholic
A  A,biotechnology
ABIO,biotechnology
ABUS,biotechnology
ACAD,biotechnology
ACHV,biotechnology
ACOR,biotechnology
ADAP,biotechnology
ADMA,biotechnology
ADRO,biotechnology
ADVM,biotechnology
ADXS,biotechnology
AEZS,biotechnology
AFMD,biotechnology
AGEN,biotechnology
AGIO,biotechnology
AGTC,biotechnology
AIM,biotechnology
AIMT,biotechnology
AKBA,biotechnology
ALDX,biotechnology
ALEC,biotechnology
ALIM,biotechnology
ALKS,biotechnology
ALLO,biotechnology
ALNY,biotechnology
ALPN,biotechnology
ALXN,biotechnology
AMGN,biotechnology
ANAB,biotechnology
ANCN,biotechnology
ANIX,biotechnology
ANPC,biotechnology
APLT,biotechnology
